### attributed: comb=297274 seq=37061 mux=128071 mem=97 membits=472564  (unattributed cells=0)

hierarchy path                                                      comb      seq      mux   mux%   seq%   mem   membits   %tot
-------------------------------------------------------------------------------------------------------------------------------
clusters.cluster.socket_dcr_bus_if                                    61        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute                    46        0       43  93.5%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache        44        0        2   4.5%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.lmem_unit.lsu_adapt        42        0       12  28.6%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.schedule.out_buf            2       38        0   0.0%  95.0%     0         0   0.0%
clusters.cluster.sockets.socket.icache.caches.cache_wrap.cache        32        0        2   6.2%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.fpu_unit.ta        23        5        7  30.4%  17.9%     1        94   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache        17        0        3  17.6%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.decode_sched_if            16        0        4  25.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.lmem_unit.local_mem        16        0        0   0.0%   0.0%     4    131072   0.0%
clusters.cluster.sockets.socket.cores.core.decode_if                  15        0        1   6.7%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.fpu_unit           12        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.schedule.wid_select         9        0        6  66.7%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.sched_csr_if                8        0        4  50.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.fpu_unit.pe         6        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.alu_unit.in         5        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.lmem_unit                   4        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.writeback_if                4        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.commit.commit_size_         0        4        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.commit.commit_size_         0        4        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.commit.committed_pi         0        4        0   0.0% 100.0%     0         0   0.0%
