path	nvars	sumw	maxw	mean_w	bw_mean_w
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.commit_if[0]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.dispatch_if[0]	3	474	472	158.00	470.01
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.dispatch_unit	45	2375	475	52.78	352.04
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.dispatch_unit.dispatch_if[0]	3	474	472	158.00	470.01
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.dispatch_unit.execute_if[0]	5	541	475	108.20	420.84
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.dispatch_unit.genblk5[0]	6	7	2	1.17	1.29
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.gather_unit	33	1472	176	44.61	126.11
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.gather_unit.commit_in_if[0]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.gather_unit.commit_out_if[0]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.gather_unit.genblk5[0]	7	374	176	53.43	132.16
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.gather_unit.genblk5[0].commit_tmp_if	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0]	182	8013	475	44.03	189.41
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int	89	4067	475	45.70	135.31
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.branch_ctl_if	4	35	31	8.75	27.63
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.commit_if	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.execute_if	5	541	475	108.20	420.84
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk3[0]	2	66	33	33.00	33.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk3[1]	2	66	33	33.00	33.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk3[2]	2	66	33	33.00	33.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk3[3]	2	66	33	33.00	33.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk4[0]	3	98	33	32.67	32.67
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk4[1]	3	98	33	32.67	32.67
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk4[2]	3	98	33	32.67	32.67
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk4[3]	3	98	33	32.67	32.67
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk6[0]	2	64	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk6[1]	2	64	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk6[2]	2	64	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].alu_int.genblk6[3]	2	64	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].int_commit_if	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].int_execute_if	5	541	475	108.20	420.84
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_commit_if	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_execute_if	5	541	475	108.20	420.84
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_unit	71	2378	475	33.49	187.59
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_unit.commit_if	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_unit.execute_if	5	541	475	108.20	420.84
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_unit.genblk2[0]	2	66	33	33.00	33.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_unit.genblk2[1]	2	66	33	33.00	33.00
