# ncycles	1612524
path	depth	nbits	toggles	busy	nbursts	bsum	maxburst	nidle	isum	maxidle	bhist	ihist	thresh	busy2	nbursts2	bsum2	maxburst2	nidle2	isum2	maxidle2	bhist2	ihist2
tb.dut.clusters[0].cluster.l2cache.core_bus_if[0]	5	1298	23840	338	33	338	251	34	1612186	1602993	2,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,2,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	270	14	270	248	15	1612254	1603003	10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2	5	8274	137017	339	34	339	251	35	1612185	1602993	3,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,2,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	42	270	14	270	248	15	1612254	1603003	10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass	6	8273	137015	339	34	339	251	35	1612185	1602993	3,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,2,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	42	270	14	270	248	15	1612254	1603003	10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_in_if[0]	7	1298	23840	338	33	338	251	34	1612186	1602993	2,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,2,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	270	14	270	248	15	1612254	1603003	10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_out_if[0]	7	1298	20925	279	15	279	248	16	1612245	1603013	3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	262	6	262	248	7	1612262	1604330	2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_in_if	7	1290	280	280	14	280	248	15	1612244	1603013	0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	0	0	0	0	1	1612524	1612524	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_out_if	7	1298	23863	337	32	337	251	33	1612187	1602993	1,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,12,2,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	270	14	270	248	15	1612254	1603003	10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.mem_bus_cache_if	5	1290	280	280	14	280	248	15	1612244	1603013	0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	0	0	0	0	1	1612524	1612524	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.mem_bus_if	5	1298	23863	337	32	337	251	33	1612187	1602993	1,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,12,2,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	270	14	270	248	15	1612254	1603003	10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.mem_bus_if	4	1298	23863	337	32	337	251	33	1612187	1602993	1,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,12,2,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	270	14	270	248	15	1612254	1603003	10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
