# ncycles	40896
path	depth	nbits	toggles	busy	nbursts	bsum	maxburst	nidle	isum	maxidle	bhist	ihist	thresh	busy2	nbursts2	bsum2	maxburst2	nidle2	isum2	maxidle2	bhist2	ihist2
tb.dut.clusters[0].cluster.l2cache.core_bus_if[0]	5	1298	206900	7050	1548	7050	387	1549	33846	784	138,422,634,92,90,51,19,10,33,29,4,1,0,2,0,1,6,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	150,105,99,63,49,52,44,47,72,88,45,44,41,15,49,18,369,87,70,33,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	4021	1515	4021	328	1516	36875	804	583,644,85,77,67,10,6,15,1,3,4,1,3,0,0,2,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	194,69,129,108,45,30,46,19,34,47,36,28,66,42,24,44,302,127,75,40,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2	5	8274	966849	7051	1549	7051	387	1550	33845	784	139,422,634,92,90,51,19,10,33,29,4,1,0,2,0,1,6,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	150,105,99,63,49,52,44,47,72,88,45,44,41,15,49,18,370,87,70,33,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42	3911	1474	3911	202	1475	36985	804	518,645,84,77,74,30,8,14,1,2,3,1,3,0,2,2,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	196,75,124,107,41,29,37,19,32,39,32,20,64,38,19,46,283,146,77,40,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass	6	8273	966847	7051	1549	7051	387	1550	33845	784	139,422,634,92,90,51,19,10,33,29,4,1,0,2,0,1,6,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	150,105,99,63,49,52,44,47,72,88,45,44,41,15,49,18,370,87,70,33,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42	3911	1474	3911	202	1475	36985	804	518,645,84,77,74,30,8,14,1,2,3,1,3,0,2,2,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	196,75,124,107,41,29,37,19,32,39,32,20,64,38,19,46,283,146,77,40,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_in_if[0]	7	1298	206900	7050	1548	7050	387	1549	33846	784	138,422,634,92,90,51,19,10,33,29,4,1,0,2,0,1,6,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	150,105,99,63,49,52,44,47,72,88,45,44,41,15,49,18,369,87,70,33,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	4021	1515	4021	328	1516	36875	804	583,644,85,77,67,10,6,15,1,3,4,1,3,0,0,2,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	194,69,129,108,45,30,46,19,34,47,36,28,66,42,24,44,302,127,75,40,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_out_if[0]	7	1298	101281	4402	951	4402	384	952	36494	804	2,759,8,97,1,37,1,22,0,2,0,1,0,0,0,3,6,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	74,36,25,104,29,20,28,8,16,19,8,10,59,9,6,13,142,185,106,46,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	3306	1024	3306	168	1025	37590	875	120,633,55,79,65,30,4,16,0,2,3,0,3,1,0,2,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	101,57,94,102,29,16,24,7,16,17,10,8,62,7,9,15,104,187,108,38,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_in_if	7	1290	4350	4350	963	4350	253	964	36546	804	21,751,2,97,1,36,0,22,0,2,0,1,0,0,2,3,10,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	82,48,25,104,29,20,28,7,16,15,8,10,59,8,6,13,138,186,107,46,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	0	0	0	0	1	40896	40896	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_out_if	7	1298	207973	7041	1547	7041	387	1548	33855	784	137,422,634,92,90,53,17,16,27,29,4,1,0,2,0,1,6,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	148,105,100,63,49,52,44,46,73,84,49,44,41,14,50,18,369,87,70,33,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	4054	1543	4054	328	1544	36842	804	609,646,85,75,68,11,6,15,1,3,4,1,3,0,0,2,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	200,70,131,109,45,40,46,19,35,48,36,34,65,47,25,42,307,119,75,40,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.mem_bus_cache_if	5	1290	4350	4350	963	4350	253	964	36546	804	21,751,2,97,1,36,0,22,0,2,0,1,0,0,2,3,10,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	82,48,25,104,29,20,28,7,16,15,8,10,59,8,6,13,138,186,107,46,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	0	0	0	0	1	40896	40896	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.mem_bus_if	5	1298	207973	7041	1547	7041	387	1548	33855	784	137,422,634,92,90,53,17,16,27,29,4,1,0,2,0,1,6,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	148,105,100,63,49,52,44,46,73,84,49,44,41,14,50,18,369,87,70,33,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	4054	1543	4054	328	1544	36842	804	609,646,85,75,68,11,6,15,1,3,4,1,3,0,0,2,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	200,70,131,109,45,40,46,19,35,48,36,34,65,47,25,42,307,119,75,40,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.mem_bus_if	4	1298	207973	7041	1547	7041	387	1548	33855	784	137,422,634,92,90,53,17,16,27,29,4,1,0,2,0,1,6,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	148,105,100,63,49,52,44,46,73,84,49,44,41,14,50,18,369,87,70,33,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	4054	1543	4054	328	1544	36842	804	609,646,85,75,68,11,6,15,1,3,4,1,3,0,0,2,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	200,70,131,109,45,40,46,19,35,48,36,34,65,47,25,42,307,119,75,40,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
