# ncycles	1385575
path	depth	nbits	toggles	busy	nbursts	bsum	maxburst	nidle	isum	maxidle	bhist	ihist	thresh	busy2	nbursts2	bsum2	maxburst2	nidle2	isum2	maxidle2	bhist2	ihist2
tb.dut.clusters[0].cluster.l2cache.core_bus_if[0]	5	1298	44131	613	30	613	535	31	1384962	1375238	3,9,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,12,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	565	21	565	532	22	1385010	1375255	13,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2	5	8274	254221	614	31	614	535	32	1384961	1375238	4,9,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,13,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	42	565	21	565	532	22	1385010	1375255	13,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass	6	8273	254219	614	31	614	535	32	1384961	1375238	4,9,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,13,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	42	565	21	565	532	22	1385010	1375255	13,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_in_if[0]	7	1298	44131	613	30	613	535	31	1384962	1375238	3,9,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,12,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	565	21	565	532	22	1385010	1375255	13,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_out_if[0]	7	1298	38783	566	16	566	532	17	1385009	1375258	2,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	552	10	552	312	11	1385023	1376964	1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_in_if	7	1290	562	562	15	562	293	16	1385013	1375258	0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	0	0	0	0	1	1385575	1385575	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_out_if	7	1298	44152	612	29	612	535	30	1384963	1375238	2,9,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,12,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	565	21	565	532	22	1385010	1375255	13,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.mem_bus_cache_if	5	1290	562	562	15	562	293	16	1385013	1375258	0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	0	0	0	0	1	1385575	1385575	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.mem_bus_if	5	1298	44152	612	29	612	535	30	1384963	1375238	2,9,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,12,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	565	21	565	532	22	1385010	1375255	13,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.mem_bus_if	4	1298	44152	612	29	612	535	30	1384963	1375238	2,9,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,0,12,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	565	21	565	532	22	1385010	1375255	13,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
