# ncycles	3846785
path	depth	nbits	toggles	busy	nbursts	bsum	maxburst	nidle	isum	maxidle	bhist	ihist	thresh	busy2	nbursts2	bsum2	maxburst2	nidle2	isum2	maxidle2	bhist2	ihist2
tb.dut.clusters[0].cluster.l2cache.core_bus_if[0]	5	1298	64643568	1440783	308166	1440783	388	308167	2406002	280	7398,110874,83715,2919,26076,1329,1998,54,43410,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102095,37053,18348,8247,17979,6351,23835,16431,8967,7884,20409,8517,1335,60,114,69,6186,24134,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	830117	233421	830117	265	233422	3016668	300	93175,65798,288,354,105,303,9,67716,87,5385,15,114,0,0,0,36,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42879,27177,8485,285,2529,15918,3915,30144,8721,7542,1863,651,1428,2658,450,1038,52138,25405,157,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2	5	8274	335182577	1440788	308171	1440788	388	308172	2405997	263	7403,110874,83715,2919,26076,1329,1998,54,43410,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102097,37053,18348,8247,17979,6351,23835,16431,8967,7884,20409,8517,1335,60,114,71,6189,24132,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42	829994	233337	829994	265	233338	3016791	300	93109,65795,276,354,102,303,9,67716,87,5385,15,114,0,0,0,36,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42879,27177,8473,282,2529,15912,3915,30144,8724,7539,1863,636,1425,2634,453,1038,52054,25465,157,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass	6	8273	335182571	1440788	308171	1440788	388	308172	2405997	263	7403,110874,83715,2919,26076,1329,1998,54,43410,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102097,37053,18348,8247,17979,6351,23835,16431,8967,7884,20409,8517,1335,60,114,71,6189,24132,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42	829994	233337	829994	265	233338	3016791	300	93109,65795,276,354,102,303,9,67716,87,5385,15,114,0,0,0,36,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42879,27177,8473,282,2529,15912,3915,30144,8724,7539,1863,636,1425,2634,453,1038,52054,25465,157,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_in_if[0]	7	1298	64643568	1440783	308166	1440783	388	308167	2406002	280	7398,110874,83715,2919,26076,1329,1998,54,43410,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102095,37053,18348,8247,17979,6351,23835,16431,8967,7884,20409,8517,1335,60,114,69,6186,24134,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	830117	233421	830117	265	233422	3016668	300	93175,65798,288,354,105,303,9,67716,87,5385,15,114,0,0,0,36,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42879,27177,8485,285,2529,15918,3915,30144,8721,7542,1863,651,1428,2658,450,1038,52138,25405,157,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.core_bus_out_if[0]	7	1298	44576684	744536	143111	744536	384	143112	3102249	330	2,68865,15,432,3,387,0,67809,0,5403,0,114,0,0,0,36,21,9,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36614,12717,4746,105,1218,63,90,1302,2385,117,2721,120,1365,1239,54,54,51966,5710,20484,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	738034	144287	738034	151	144288	3108751	746	4188,65783,162,360,123,624,3,68340,0,4506,6,114,0,0,0,36,24,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	37803,12720,4828,114,1236,57,90,1272,1218,1284,2730,111,1368,1236,66,60,51810,5683,20564,27,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_in_if	7	1290	744438	744438	143136	744438	360	143137	3102347	330	39,68850,9,432,3,387,0,67806,0,5403,0,114,0,0,3,36,24,15,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36630,12741,4746,105,1218,63,90,1302,2385,111,2721,120,1365,1239,54,54,51948,5719,20484,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	0	0	0	0	1	3846785	3846785	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.genblk2.cache_bypass.mem_bus_out_if	7	1298	64744541	1440767	308165	1440767	388	308166	2406018	280	7397,110874,83715,2919,26076,1329,1998,69,43395,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102093,37053,18349,8247,17979,6351,23835,16431,8967,7878,20415,8517,1335,60,114,69,6186,24134,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	830183	233472	830183	265	233473	3016602	300	93214,65807,291,354,105,303,9,67716,87,5385,15,114,0,0,0,36,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42915,27180,8497,285,2529,15918,3915,30144,8721,7542,1863,651,1428,2661,465,1038,52120,25405,157,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.mem_bus_cache_if	5	1290	744438	744438	143136	744438	360	143137	3102347	330	39,68850,9,432,3,387,0,67806,0,5403,0,114,0,0,3,36,24,15,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36630,12741,4746,105,1218,63,90,1302,2385,111,2721,120,1365,1239,54,54,51948,5719,20484,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	0	0	0	0	1	3846785	3846785	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tb.dut.clusters[0].cluster.l2cache.mem_bus_if	5	1298	64744541	1440767	308165	1440767	388	308166	2406018	280	7397,110874,83715,2919,26076,1329,1998,69,43395,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102093,37053,18349,8247,17979,6351,23835,16431,8967,7878,20415,8517,1335,60,114,69,6186,24134,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	830183	233472	830183	265	233473	3016602	300	93214,65807,291,354,105,303,9,67716,87,5385,15,114,0,0,0,36,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42915,27180,8497,285,2529,15918,3915,30144,8721,7542,1863,651,1428,2661,465,1038,52120,25405,157,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.mem_bus_if	4	1298	64744541	1440767	308165	1440767	388	308166	2406018	280	7397,110874,83715,2919,26076,1329,1998,69,43395,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102093,37053,18349,8247,17979,6351,23835,16431,8967,7878,20415,8517,1335,60,114,69,6186,24134,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	830183	233472	830183	265	233473	3016602	300	93214,65807,291,354,105,303,9,67716,87,5385,15,114,0,0,0,36,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42915,27180,8497,285,2529,15918,3915,30144,8721,7542,1863,651,1428,2661,465,1038,52120,25405,157,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.per_socket_mem_bus_if[0]	4	1298	64643568	1440783	308166	1440783	388	308167	2406002	280	7398,110874,83715,2919,26076,1329,1998,54,43410,192,7713,7092,129,933,14253,0,54,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	102095,37053,18348,8247,17979,6351,23835,16431,8967,7884,20409,8517,1335,60,114,69,6186,24134,117,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	830117	233421	830117	265	233422	3016668	300	93175,65798,288,354,105,303,9,67716,87,5385,15,114,0,0,0,36,24,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42879,27177,8485,285,2529,15918,3915,30144,8721,7542,1863,651,1428,2658,450,1038,52138,25405,157,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.socket_dcr_bus_if	4	45	77	30	3	30	10	4	3846755	1282252	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	2	21	9	21	4	10	3846764	1282253	3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.socket_dcr_bus_tmp_if	4	45	77	30	3	30	10	4	3846755	1282252	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	2	21	9	21	4	10	3846764	1282253	3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0]	4	401737	12110526711	3846752	6	3846752	1282231	6	33	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2009	2540256	493070	2540256	41	493071	1306529	392	174573,58699,72122,60061,29228,18650,9607,3137,3903,4389,4848,1749,540,852,2610,2816,43873,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	259106,79784,47985,25943,21085,9509,7371,11900,20268,2838,2998,931,131,835,139,365,1584,175,88,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket	5	401736	12110526705	3846752	6	3846752	1282231	6	33	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2009	2540256	493070	2540256	41	493071	1306529	392	174573,58699,72122,60061,29228,18650,9607,3137,3903,4389,4848,1749,540,852,2610,2816,43873,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	259106,79784,47985,25943,21085,9509,7371,11900,20268,2838,2998,931,131,835,139,365,1584,175,88,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.core_dcr_bus_if	6	45	77	30	3	30	10	4	3846755	1282252	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	2	21	9	21	4	10	3846764	1282253	3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0]	6	263404	6802324238	3846745	6	3846745	1282230	6	40	12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1318	2098100	352388	2098100	42	352389	1748685	912	60816,76556,45241,47513,26555,19020,9309,4407,8097,1168,7854,972,1191,1161,219,2097,38856,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	111711,24402,42405,25564,24152,13280,14722,14297,37105,6776,10140,7089,9933,1215,1023,2022,6183,224,98,33,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core	7	263403	6802324232	3846745	6	3846745	1282230	6	40	12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1318	2098100	352388	2098100	42	352389	1748685	912	60816,76556,45241,47513,26555,19020,9309,4407,8097,1168,7854,972,1191,1161,219,2097,38856,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	111711,24402,42405,25564,24152,13280,14722,14297,37105,6776,10140,7089,9933,1215,1023,2022,6183,224,98,33,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
